time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-11-06T09:38:05.780Z,21.181,70.724,10,5.1,mwc,90,85.6,,1.43,us,usp000fs1z,2022-07-14T01:37:27.562Z,"17 km S of V?s?vadar, India",earthquake,,0,,,reviewed,us,gcmt
2007-11-06T00:27:31.720Z,21.229,70.898,10,4.9,mb,35,89.5,,1.29,us,usp000fs18,2020-09-18T21:52:33.065Z,"17 km SW of Dh?ri, India",earthquake,,,,17,reviewed,us,us
2007-10-08T01:12:34.710Z,23.104,69.983,10,4.5,mb,33,98.6,,0.89,us,usp000fq37,2020-09-18T21:49:55.064Z,"4 km WSW of Anj?r, India",earthquake,,,,14,reviewed,us,us
2007-07-13T06:18:55.550Z,23.641,70.639,10,4.2,mb,20,186.1,,0.84,us,usp000fg2t,2014-11-07T01:32:57.137Z,"7 km N of R?par, India",earthquake,,,,5,reviewed,us,us
2007-04-08T16:20:13.550Z,23.083,70.187,10,4.2,mb,11,150.2,,0.43,us,usp000f93d,2014-11-07T01:32:08.853Z,"5 km E of G?ndh?dh?m, India",earthquake,,,,1,reviewed,us,us
2006-08-20T02:37:17.930Z,23.26,70.72,10,4.4,mb,53,153.3,,0.96,us,usp000erbv,2014-11-07T01:29:59.988Z,"35 km SSE of R?par, India",earthquake,,,,20,reviewed,us,us
2006-06-23T05:34:06.400Z,23.462,70.116,10,4.8,mwc,141,56.6,,0.97,us,usp000em1v,2020-07-08T02:05:06.414Z,"29 km NW of Bhach?u, India",earthquake,,,,,reviewed,us,hrv
2006-05-07T14:54:57.560Z,23.144,70.196,26.9,4,mb,8,150.2,,0.55,us,usp000eggr,2014-11-07T01:29:04.136Z,"9 km NE of G?ndh?dh?m, India",earthquake,,,,1,reviewed,us,us
2006-04-10T22:05:43.060Z,23.467,70.074,20,4.9,mb,111,83.9,,1.04,us,usp000ee4h,2020-09-18T20:56:47.604Z,"33 km NW of Bhach?u, India",earthquake,,0,,55,reviewed,us,us
2006-04-06T17:59:16.440Z,23.322,70.477,10,5.5,mwb,255,27.7,,1.05,us,usp000eduw,2022-07-14T11:59:02.935Z,"13 km E of Bhach?u, India",earthquake,,,,,reviewed,us,us
2006-04-06T12:02:54.590Z,23.726,70.682,10,5,mwc,121,62.7,,1.08,us,usp000edu5,2022-05-02T15:28:52.386Z,"17 km NNE of R?par, India",earthquake,,,,,reviewed,us,hrv
2006-03-07T18:20:46.110Z,23.777,70.899,10,5.5,mwb,199,42.2,,1.08,us,usp000ebma,2022-07-14T12:17:55.188Z,"34 km NE of R?par, India",earthquake,,,,,reviewed,us,us
2006-02-03T00:54:23.460Z,23.827,70.559,10,4.5,mb,78,174.9,,0.93,us,usp000e9bt,2020-09-18T20:52:05.399Z,"29 km NNW of R?par, India",earthquake,,,,36,reviewed,us,us
2004-08-31T16:54:09.670Z,23.457,70.512,10,3.8,mb,9,187.6,,0.73,us,usp000d39x,2014-11-07T01:23:18.259Z,"18 km SW of R?par, India",earthquake,,,,2,reviewed,us,us
2004-07-17T18:21:57.540Z,23.905,71.57,10,3.8,mb,8,236.4,,1.17,us,usp000d0bs,2014-11-07T01:22:55.193Z,"Gujarat, India",earthquake,,,,2,reviewed,us,us
2004-04-12T15:07:00.600Z,22.418,70.474,10,4.2,mb,12,170,,1.33,us,usp000csbb,2014-11-07T01:21:58.139Z,"13 km W of Paddhari, India",earthquake,,,,2,reviewed,us,us
2003-10-11T09:47:53.620Z,23.375,69.916,10,4.4,mb,37,126.4,,0.97,us,usp000ca4v,2014-11-07T01:20:11.030Z,"28 km ENE of Bhuj, India",earthquake,,,,12,reviewed,us,us
2003-09-08T23:37:18.870Z,23.886,69.588,10,3.9,mb,9,192.1,,1.08,us,usp000c73c,2014-11-07T01:19:47.448Z,"64 km S of Diplo, Pakistan",earthquake,,,,1,reviewed,us,us
2003-08-05T11:08:01.910Z,23.689,70.435,10,5,mwc,256,51,,0.95,us,usp000c467,2020-07-08T01:26:53.142Z,"25 km WNW of R?par, India",earthquake,,,,,reviewed,us,hrv
